P001_WB02 	Salicaceae	Poaceae	Poaceae	50	1	k141_321
P001_WD08 	Caryophyllaceae	Boraginaceae	Boraginaceae	40	2	k141_537
P001_WD08 	Caryophyllaceae	Caryophyllaceae	Boraginaceae	40	2	k141_537
P001_WD08 	Caryophyllaceae	Ehretiaceae	Boraginaceae	40	2	k141_537
P001_WD08 	Caryophyllaceae	Orobanchaceae	Boraginaceae	40	2	k141_537
P001_WD11 	Crassulaceae	Apiaceae	Asteraceae	50	1	k141_14867
P001_WD11 	Crassulaceae	Apiaceae	Asteraceae	50	1	k141_93483
P001_WD11 	Crassulaceae	Apiaceae	Asteraceae	66	2	k141_104199
P001_WD11 	Crassulaceae	Araliaceae	Asteraceae	50	1	k141_50787
P001_WD11 	Crassulaceae	Araliaceae	Asteraceae	66	2	k141_3555
P001_WD11 	Crassulaceae	Asteraceae	Asteraceae	50	1	k141_14867
P001_WD11 	Crassulaceae	Asteraceae	Asteraceae	50	1	k141_50787
P001_WD11 	Crassulaceae	Asteraceae	Asteraceae	50	1	k141_93483
P001_WD11 	Crassulaceae	Asteraceae	Asteraceae	66	2	k141_104199
P001_WD11 	Crassulaceae	Asteraceae	Asteraceae	66	2	k141_3555
P001_WD11 	Crassulaceae	Asteraceae	Campanulaceae	50	1	k141_49115
P001_WD11 	Crassulaceae	Asteraceae	Crassulaceae	50	1	k141_6587
P001_WD11 	Crassulaceae	Campanulaceae	Campanulaceae	50	1	k141_49115
P001_WD11 	Crassulaceae	Crassulaceae	Crassulaceae	50	1	k141_6587
P001_WE04 	Tofieldiaceae	Dasypogonaceae	Tofieldiaceae	50	1	k141_51353
P001_WE04 	Tofieldiaceae	Tofieldiaceae	Tofieldiaceae	50	1	k141_51353
P001_WE07 	Juncaceae	Araceae	Cyperaceae	44	4	k141_22152
P001_WE07 	Juncaceae	Arecaceae	Cyperaceae	44	4	k141_22152
P001_WE07 	Juncaceae	Asparagaceae	Juncaceae	50	5	k141_6235
P001_WE07 	Juncaceae	Asphodelaceae	Juncaceae	66	4	k141_12150
P001_WE07 	Juncaceae	Bromeliaceae	Juncaceae	54	6	k141_432
P001_WE07 	Juncaceae	Cyperaceae	Cyperaceae	44	4	k141_22152
P001_WE07 	Juncaceae	Cyperaceae	Cyperaceae	66	2	k141_31532
P001_WE07 	Juncaceae	Cyperaceae	Juncaceae	50	5	k141_6235
P001_WE07 	Juncaceae	Cyperaceae	Juncaceae	54	6	k141_432
P001_WE07 	Juncaceae	Cyperaceae	Juncaceae	63	7	k141_21561
P001_WE07 	Juncaceae	Cyperaceae	Juncaceae	66	2	k141_39356
P001_WE07 	Juncaceae	Cyperaceae	Juncaceae	66	4	k141_12150
P001_WE07 	Juncaceae	Doryanthaceae	Juncaceae	50	5	k141_6235
P001_WE07 	Juncaceae	Juncaceae	Cyperaceae	44	4	k141_22152
P001_WE07 	Juncaceae	Juncaceae	Cyperaceae	66	2	k141_31532
P001_WE07 	Juncaceae	Juncaceae	Juncaceae	50	5	k141_6235
P001_WE07 	Juncaceae	Juncaceae	Juncaceae	54	6	k141_432
P001_WE07 	Juncaceae	Juncaceae	Juncaceae	63	7	k141_21561
